Date,Open,High,Low,Close,Volume
2001-09-30,176.62,178.42,133.35,147.08,
2001-10-31,147.08,152.04,139.95,150.36,
2001-11-30,150.36,159.37,147.76,158.89,
2001-12-31,158.89,167.66,156.72,167.18,
2002-01-31,167.18,171.74,160.72,163.55,
2002-02-28,163.55,166.04,159.16,165.46,
2002-03-31,165.46,179.13,165.17,179.06,
2002-04-30,179.06,180.84,168.93,170.51,
2002-05-31,170.51,178.37,164.48,165.92,
2002-06-30,165.92,166.78,142.34,148.45,
2002-07-31,148.45,151.24,123.84,136.58,
2002-08-31,136.58,138.43,128.29,131.42,
2002-09-30,131.42,131.42,108.45,110.62,
2002-10-31,110.62,122.41,109.31,117.48,
2002-11-30,117.48,126.2,116.32,126.06,
2002-12-31,126.06,128.33,114.94,115.21,
2003-01-31,115.21,120.18,107.45,109.72,
2003-02-28,109.72,111.04,97.72,101.63,
2003-03-31,101.63,108.18,98.89,104.03,
2003-04-30,104.03,117.73,102.93,117.57,
2003-05-31,117.57,125.41,116.8,124.32,
2003-06-30,124.32,137.19,124.32,134.2,
2003-07-31,134.2,145.7,133.03,145.33,
2003-08-31,145.33,153.84,144.06,152.91,
2003-09-30,152.91,157.14,142.65,142.65,
2003-10-31,142.65,161.16,142.65,160.95,
2003-11-30,160.95,166.02,157.46,162.27,
2003-12-31,162.27,171.78,162.27,170.97,
2004-01-31,170.97,187.86,170.93,183.95,
2004-02-29,183.95,202.09,182.48,202.07,
2004-03-31,202.07,207.47,187.89,193.77,
2004-04-30,193.77,203.3,187.47,188.34,
2004-05-31,188.23,193.02,182.38,191.64,
2004-06-30,191.64,205.18,191.28,204.55,
2004-07-31,204.55,206.12,197.53,201.71,
2004-08-31,201.71,205.6,194.23,203.7,
2004-09-30,203.7,220.75,203.7,219.31,
2004-10-31,219.31,228.55,212.46,213.48,
2004-11-30,213.48,232.82,213.26,232.43,
2004-12-31,232.43,238.25,226.19,236.7,
2005-01-31,236.7,244.35,231.82,242.47,
