Date,Open,High,Low,Volume
2015-11-30,136.3,147.5,129.0,90784852
2015-12-31,134.2,137.2,118.2,103003842
2016-01-31,122.8,123.8,97.25,163350308
2016-02-29,117.8,127.2,107.4,174222459
2016-03-31,127.7,136.5,126.0,116451763
2016-04-30,128.1,145.5,120.2,102674670
2016-05-31,141.5,141.9,132.2,77527353
2016-06-30,132.3,146.2,130.0,89277212
2016-07-31,143.7,150.2,132.8,76076529
2016-08-31,134.3,136.8,129.7,77852613
2016-09-30,131.3,135.9,123.9,86904786
2016-10-31,134.6,141.0,133.0,71568470
2016-11-30,135.4,148.5,129.3,94080155
2016-12-31,148.5,160.0,146.8,69326744
2017-01-31,158.4,163.5,152.8,62808616
2017-02-28,154.4,156.9,145.9,77602364
2017-03-31,148.5,150.6,141.7,79055268
2017-04-30,148.1,151.0,140.3,55253445
2017-05-31,140.3,154.7,139.4,77380381
2017-06-30,148.5,150.2,138.0,74126906
2017-07-31,139.2,148.7,135.8,66010114
2017-08-31,147.7,150.7,142.4,64245477
2017-09-30,146.6,160.8,146.5,56216943
2017-10-31,159.7,168.8,157.1,67977923
2017-11-30,165.6,172.0,162.3,59244130
2017-12-31,167.1,177.2,165.1,51852687
2018-01-31,178.95,188.85,176.3,64839439
2018-02-28,182.75,184.4,170.4,164746549
2018-03-31,179.9,184.8,174.75,59905217
2018-04-30,181.2,207.4,181.2,75100404
2018-05-31,205.1,221.9,201.6,70268715
2018-06-30,215.2,219.1,205.1,64030763
2018-07-31,214.8,225.5,210.1,58356989
2018-08-31,216.6,219.9,210.2,51064895
2018-09-30,215.2,234.6,207.2,67729646
2018-10-31,231.6,233.5,207.6,88028579
2018-11-30,216.1,219.8,192.55,81681981
2018-12-31,208.6,209.2,179.8,57804954
2019-01-31,180.8,195.0,179.1,58976578
2019-02-28,192.85,201.3,191.0,50400132
2019-03-31,193.7,197.0,187.6,49036404
2019-04-30,191.15,203.9,190.15,51206385
2019-05-31,190.5,194.3,164.8,82750447
2019-06-30,165.85,173.9,164.8,55066109
2019-07-31,171.9,175.25,154.8,60903189
2019-08-31,157.5,159.3,144.5,70799929
2019-09-30,155.75,184.9,152.65,87174291
2019-10-31,173.6,176.9,164.0,71070040
2019-11-30,170.85,179.85,169.8,55064618
2019-12-31,170.7,178.8,164.2,58755438
2020-01-31,175.5,187.2,167.15,70757447
2020-02-29,167.3,175.4,139.15,99616024
2020-03-31,148.15,150.85,95.2,228867631
2020-04-30,125.8,144.0,123.3,141192116
2020-05-31,135.2,151.8,132.55,104781953
2020-06-30,143.9,159.35,135.4,92436052
2020-07-31,138.1,145.85,134.3,71698962
2020-08-31,135.0,151.0,134.2,54075771
2020-09-30,141.5,144.8,131.0,65090504
2020-10-31,132.0,137.75,116.3,55353212
2020-11-30,123.35,150.35,121.4,89158868
2020-12-31,137.4,150.95,137.4,59980332
2021-01-31,144.15,170.4,143.3,75808077
2021-02-28,153.85,170.75,150.3,71839802
2021-03-31,165.95,176.8,162.05,78079540
2021-04-30,168.5,178.38,160.6,60269092
2021-05-31,170.2,184.08,168.7,65265202
2021-06-30,181.9,193.4,171.48,89160128
2021-07-31,183.2,187.34,167.18,63447590
2021-08-31,172.86,190.16,172.8,64214818
2021-09-30,185.0,225.65,184.88,86972688
2021-10-31,219.1,237.55,210.2,101035744
2021-11-30,215.2,238.75,214.95,99765964
2021-12-31,232.0,249.8,225.15,74886247
2022-01-31,231.0,259.9,231.0,86638554
2022-02-28,244.05,294.6,239.5,107269576
2022-03-31,280.9,336.75,280.15,141746361
2022-04-30,329.3,347.6,307.0,70753670
2022-05-31,317.9,365.05,307.4,86420035
2022-06-30,353.95,368.8,320.35,89543348
2022-07-31,342.0,369.75,319.1,74501556
2022-08-31,367.2,410.95,346.2,79485626
2022-09-30,382.4,402.5,332.1,95956435
2022-10-31,362.55,391.0,353.3,70915402
2022-11-30,384.95,399.95,338.25,77083964
2022-12-31,374.75,380.5,351.0,62955839
2023-01-31,352.9,356.35,293.15,89444901
2023-02-28,303.0,333.6,288.0,68190821
2023-03-31,320.4,326.65,278.7,78105312
2023-04-30,312.3,315.45,294.6,43621993
2023-05-31,305.8,318.1,280.3,62913129
2023-06-30,283.85,328.25,282.0,75843322
2023-07-31,314.5,320.6,292.25,52577186
2023-08-31,308.45,336.65,303.7,70715164
2023-09-30,331.0,359.55,331.0,63853264
2023-10-31,353.7,382.85,335.2,57752718
2023-11-30,371.45,377.65,339.95,55209837
2023-12-31,345.0,346.15,321.7,47479830
2024-01-31,325.95,337.9,290.45,58047988
2024-02-29,303.85,308.9,256.7,70626394
2024-03-31,261.45,292.6,261.45,53935901
2024-04-30,292.5,313.9,291.85,58784530
2024-05-31,294.0,313.35,290.3,56579986
2024-06-30,305.1,311.2,287.15,51233477
2024-07-31,307.15,309.85,281.85,48634817
2024-08-31,292.2,304.7,275.5,58423763
2024-09-30,282.5,283.95,253.25,55523739
2024-10-31,267.0,290.5,263.0,61811132
2024-11-30,261.1,279.4,247.25,79601095
2024-12-31,266.1,274.45,249.35,51861498
2025-01-31,269.7,298.45,264.55,71784800
2025-02-28,272.0,282.0,250.6,88857572
2025-03-31,261.2,279.2,241.8,72780261
2025-04-30,278.15,282.25,233.1,59732740
2025-05-31,238.0,249.9,233.0,65210907
2025-06-30,240.9,287.3,240.6,74390379
2025-07-31,255.1,276.3,252.7,49986354
2025-08-31,267.3,268.2,242.8,49365508
2025-09-30,247.3,258.2,237.4,61732203
2025-10-31,243.4,255.3,229.6,60976736
2025-11-30,243.7,250.8,226.4,55934803
2025-12-31,234.0,238.4,227.0,52298598
2026-01-31,237.7,261.2,229.9,80812144
2026-02-28,251.4,284.3,247.1,79217976
2026-03-31,301.4,422.3,295.2,167082745
2026-04-30,388.0,414.5,325.7,80849132
2026-05-31,368.8,383.9,333.8,65786089
2026-06-30,340.2,368.0,304.7,72929998
2026-07-31,312.6,398.7,309.3,47912246
